Weight,Calibration,Randomization Ratio,N_t,Equivalence Margin,Split Ratio,Cost,N_t,Power_Reference,Cost,Power_-0.6,Power_-0.55,Power_-0.5,Power_-0.45,Power_-0.4,Power_-0.35,Power_-0.3,Power_-0.25,Power_-0.2,Power_-0.15,Power_-0.1,Power_-0.05,Power_0.0,Power_0.05,Power_0.1,Power_0.15,Power_0.2,Power_0.25,Power_0.3,Power_0.35,Power_0.4,Power_0.45,Power_0.5,Power_0.55,Power_0.6,TypeIError_-0.6,TypeIError_-0.55,TypeIError_-0.5,TypeIError_-0.45,TypeIError_-0.4,TypeIError_-0.35,TypeIError_-0.3,TypeIError_-0.25,TypeIError_-0.2,TypeIError_-0.15,TypeIError_-0.1,TypeIError_-0.05,TypeIError_0.0,TypeIError_0.05,TypeIError_0.1,TypeIError_0.15,TypeIError_0.2,TypeIError_0.25,TypeIError_0.3,TypeIError_0.35,TypeIError_0.4,TypeIError_0.45,TypeIError_0.5,TypeIError_0.55,TypeIError_0.6,Beta_-0.6,Beta_-0.55,Beta_-0.5,Beta_-0.45,Beta_-0.4,Beta_-0.35,Beta_-0.3,Beta_-0.25,Beta_-0.2,Beta_-0.15,Beta_-0.1,Beta_-0.05,Beta_0.0,Beta_0.05,Beta_0.1,Beta_0.15,Beta_0.2,Beta_0.25,Beta_0.3,Beta_0.35,Beta_0.4,Beta_0.45,Beta_0.5,Beta_0.55,Beta_0.6
0.0,1,0.765,153.0,0.3359,0.0,-4.2595,153.0,0.6612,-4.2595,0.6856,0.6856,0.6856,0.6856,0.6856,0.6857,0.6862,0.6879,0.6922,0.6999,0.709,0.7127,0.7038,0.6823,0.659,0.6469,0.6499,0.6616,0.6734,0.6807,0.6841,0.6852,0.6855,0.6856,0.6856,0.0586,0.0592,0.0606,0.0634,0.0671,0.07,0.07,0.0664,0.0611,0.057,0.0555,0.0556,0.0558,0.0556,0.0555,0.057,0.0611,0.0664,0.07,0.07,0.0671,0.0634,0.0606,0.0592,0.0586,0.0018,0.0046,0.0108,0.0234,0.0462,0.084,0.1404,0.2162,0.3073,0.4032,0.4892,0.5492,0.5707,0.5492,0.4892,0.4032,0.3073,0.2162,0.1404,0.084,0.0462,0.0234,0.0108,0.0046,0.0018
0.0,1,0.775,155.0,0.3401,0.0,-4.1873,155.0,0.648,-4.1873,0.6723,0.6723,0.6723,0.6723,0.6723,0.6725,0.6731,0.6749,0.6795,0.6876,0.6968,0.7001,0.6903,0.6682,0.6449,0.6334,0.6371,0.6491,0.6607,0.6678,0.6709,0.672,0.6723,0.6723,0.6723,0.0585,0.0592,0.0608,0.0637,0.0674,0.07,0.0695,0.0655,0.0603,0.0566,0.0554,0.0556,0.056,0.0556,0.0554,0.0566,0.0603,0.0655,0.0695,0.07,0.0674,0.0637,0.0608,0.0592,0.0585,0.0021,0.0053,0.0121,0.0255,0.0493,0.088,0.1448,0.2201,0.3095,0.4028,0.486,0.5437,0.5644,0.5437,0.486,0.4028,0.3095,0.2201,0.1448,0.088,0.0493,0.0255,0.0121,0.0053,0.0021
0.0,1,0.75,150.0,0.3286,0.0,-4.1334,150.0,0.6795,-4.1334,0.703,0.703,0.703,0.703,0.703,0.7031,0.7036,0.7051,0.7088,0.7159,0.7244,0.7285,0.7208,0.7009,0.6783,0.6658,0.668,0.6791,0.6907,0.6981,0.7015,0.7026,0.7029,0.703,0.703,0.0585,0.0589,0.0601,0.0625,0.066,0.0692,0.0698,0.0669,0.0618,0.0575,0.0555,0.0553,0.0554,0.0553,0.0555,0.0575,0.0618,0.0669,0.0698,0.0692,0.066,0.0625,0.0601,0.0589,0.0585,0.0014,0.0037,0.009,0.0201,0.0411,0.077,0.132,0.2077,0.3003,0.3992,0.4889,0.5518,0.5745,0.5518,0.4889,0.3992,0.3003,0.2077,0.132,0.077,0.0411,0.0201,0.009,0.0037,0.0014
0.0,1,0.775,155.0,0.3401,0.0,-4.2356,155.0,0.648,-4.2356,0.6723,0.6723,0.6723,0.6723,0.6723,0.6725,0.673,0.6749,0.6795,0.6876,0.6968,0.7001,0.6903,0.6681,0.6449,0.6334,0.6371,0.6491,0.6607,0.6678,0.6709,0.672,0.6722,0.6723,0.6723,0.0585,0.0592,0.0608,0.0637,0.0674,0.07,0.0695,0.0655,0.0603,0.0566,0.0554,0.0556,0.056,0.0556,0.0554,0.0566,0.0603,0.0655,0.0695,0.07,0.0674,0.0637,0.0608,0.0592,0.0585,0.0021,0.0053,0.0121,0.0255,0.0493,0.088,0.1448,0.2201,0.3094,0.4028,0.4859,0.5436,0.5643,0.5436,0.4859,0.4028,0.3094,0.2201,0.1448,0.088,0.0493,0.0255,0.0121,0.0053,0.0021
0.0,2,0.875,175.0,0.2945,0.0,-3.6523,175.0,0.4575,-3.6523,0.4438,0.4438,0.4438,0.4438,0.4438,0.4438,0.4441,0.445,0.4478,0.4541,0.4651,0.4799,0.494,0.5018,0.4996,0.4886,0.4737,0.4603,0.4512,0.4466,0.4447,0.4442,0.4442,0.4442,0.4442,0.0463,0.0469,0.0484,0.0514,0.0562,0.0622,0.0676,0.07,0.068,0.0626,0.0563,0.0517,0.05,0.0517,0.0563,0.0626,0.068,0.07,0.0676,0.0622,0.0562,0.0514,0.0484,0.0469,0.0463,0.0016,0.003,0.0053,0.009,0.0145,0.0219,0.0314,0.0426,0.0546,0.0663,0.0761,0.0827,0.0851,0.0827,0.0761,0.0663,0.0546,0.0426,0.0314,0.0219,0.0145,0.009,0.0053,0.003,0.0016
0.0,2,0.9,180.0,0.3205,0.0,-3.936,180.0,0.3903,-3.936,0.3796,0.3796,0.3796,0.3796,0.3796,0.3797,0.3803,0.382,0.3862,0.3942,0.406,0.4192,0.4296,0.4334,0.4291,0.4186,0.4056,0.3941,0.3863,0.3821,0.3805,0.3801,0.3802,0.3803,0.3804,0.0474,0.0485,0.0507,0.0545,0.0596,0.065,0.069,0.0699,0.067,0.0614,0.0556,0.0514,0.05,0.0514,0.0556,0.0614,0.067,0.0699,0.069,0.065,0.0596,0.0545,0.0507,0.0485,0.0474,0.0026,0.0044,0.007,0.0108,0.0159,0.0223,0.03,0.0385,0.0472,0.0553,0.062,0.0663,0.0678,0.0663,0.062,0.0553,0.0472,0.0385,0.03,0.0223,0.0159,0.0108,0.007,0.0044,0.0026
0.0,2,0.8,160.0,0.2575,0.0,-2.8179,160.0,0.6108,-2.8179,0.5864,0.5864,0.5864,0.5864,0.5864,0.5865,0.5866,0.587,0.5885,0.5929,0.6027,0.619,0.639,0.6545,0.6574,0.646,0.6267,0.6082,0.5959,0.5897,0.5874,0.5867,0.5866,0.5865,0.5865,0.0431,0.0433,0.0438,0.0454,0.049,0.055,0.0625,0.0685,0.0698,0.0657,0.0586,0.0524,0.05,0.0524,0.0586,0.0657,0.0698,0.0685,0.0625,0.055,0.049,0.0454,0.0438,0.0433,0.0431,0.0004,0.0011,0.0027,0.0058,0.0117,0.0217,0.037,0.0582,0.0842,0.1123,0.1379,0.156,0.1625,0.156,0.1379,0.1123,0.0842,0.0582,0.037,0.0217,0.0117,0.0058,0.0027,0.0011,0.0004
0.0,2,0.87,174.0,0.2905,0.0,-3.5909,174.0,0.4699,-3.5909,0.4555,0.4555,0.4555,0.4555,0.4555,0.4556,0.4558,0.4567,0.4593,0.4653,0.4762,0.4911,0.5058,0.5143,0.5126,0.5015,0.4863,0.4725,0.4632,0.4584,0.4565,0.4559,0.4559,0.4559,0.4559,0.0461,0.0466,0.048,0.0509,0.0556,0.0617,0.0673,0.07,0.0682,0.0629,0.0565,0.0517,0.05,0.0517,0.0565,0.0629,0.0682,0.07,0.0673,0.0617,0.0556,0.0509,0.048,0.0466,0.0461,0.0014,0.0028,0.0051,0.0088,0.0142,0.0219,0.0318,0.0435,0.0563,0.0688,0.0794,0.0865,0.089,0.0865,0.0794,0.0688,0.0563,0.0435,0.0318,0.0219,0.0142,0.0088,0.0051,0.0028,0.0014
0.0,3,0.68,136.0,0.2883,0.8323,-5.0232,136.0,0.7434,-5.0232,0.7312,0.7312,0.7312,0.7312,0.7312,0.7313,0.7315,0.7327,0.7362,0.7444,0.759,0.7779,0.7936,0.7975,0.787,0.7681,0.75,0.7385,0.7332,0.7315,0.7312,0.7312,0.7312,0.7312,0.7312,0.0458,0.046,0.0466,0.0483,0.052,0.0581,0.0652,0.07,0.0697,0.0645,0.0575,0.052,0.05,0.052,0.0575,0.0645,0.0697,0.07,0.0652,0.0581,0.052,0.0483,0.0466,0.046,0.0458,0.0003,0.001,0.0029,0.008,0.0195,0.0427,0.084,0.1483,0.2354,0.3367,0.4343,0.5058,0.5321,0.5058,0.4343,0.3367,0.2354,0.1483,0.084,0.0427,0.0195,0.008,0.0029,0.001,0.0003
0.0,3,0.715,143.0,0.2931,0.8948,-5.1275,143.0,0.7155,-5.1275,0.7085,0.7085,0.7085,0.7085,0.7085,0.7086,0.7088,0.7099,0.7132,0.721,0.7348,0.7525,0.7667,0.7695,0.7586,0.7405,0.7241,0.7141,0.7098,0.7086,0.7085,0.7085,0.7085,0.7085,0.7085,0.0477,0.0479,0.0486,0.0506,0.0544,0.0601,0.0659,0.0689,0.0671,0.0617,0.0556,0.0514,0.05,0.0514,0.0556,0.0617,0.0671,0.0689,0.0659,0.0601,0.0544,0.0506,0.0486,0.0479,0.0477,0.0004,0.0014,0.0039,0.0099,0.0227,0.047,0.0883,0.1502,0.2315,0.3237,0.4111,0.4743,0.4974,0.4743,0.4111,0.3237,0.2315,0.1502,0.0883,0.047,0.0227,0.0099,0.0039,0.0014,0.0004
