Weight,Calibration,N,Randomization Ratio,N_t,Equivalence Margin,Split Ratio,Cost,N_t,Power_Reference,Cost,Power_-0.6,Power_-0.55,Power_-0.5,Power_-0.45,Power_-0.4,Power_-0.35,Power_-0.3,Power_-0.25,Power_-0.2,Power_-0.15,Power_-0.1,Power_-0.05,Power_0.0,Power_0.05,Power_0.1,Power_0.15,Power_0.2,Power_0.25,Power_0.3,Power_0.35,Power_0.4,Power_0.45,Power_0.5,Power_0.55,Power_0.6,TypeIError_-0.6,TypeIError_-0.55,TypeIError_-0.5,TypeIError_-0.45,TypeIError_-0.4,TypeIError_-0.35,TypeIError_-0.3,TypeIError_-0.25,TypeIError_-0.2,TypeIError_-0.15,TypeIError_-0.1,TypeIError_-0.05,TypeIError_0.0,TypeIError_0.05,TypeIError_0.1,TypeIError_0.15,TypeIError_0.2,TypeIError_0.25,TypeIError_0.3,TypeIError_0.35,TypeIError_0.4,TypeIError_0.45,TypeIError_0.5,TypeIError_0.55,TypeIError_0.6,Beta_-0.6,Beta_-0.55,Beta_-0.5,Beta_-0.45,Beta_-0.4,Beta_-0.35,Beta_-0.3,Beta_-0.25,Beta_-0.2,Beta_-0.15,Beta_-0.1,Beta_-0.05,Beta_0.0,Beta_0.05,Beta_0.1,Beta_0.15,Beta_0.2,Beta_0.25,Beta_0.3,Beta_0.35,Beta_0.4,Beta_0.45,Beta_0.5,Beta_0.55,Beta_0.6
0.0,1,488.8559,0.15,30.0,0.21,0.0,-1.724,74.0,0.881,-1.724,0.8915,0.8915,0.8915,0.8915,0.8915,0.8915,0.8916,0.8921,0.8947,0.9026,0.9137,0.9156,0.8982,0.8695,0.851,0.8564,0.8743,0.8867,0.8908,0.8915,0.8915,0.8915,0.8915,0.8915,0.8915,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.0573,0.0596,0.065,0.0698,0.0661,0.0557,0.0501,0.0557,0.0661,0.0698,0.065,0.0596,0.0573,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.0,0.0,0.0,0.0,0.0,0.0004,0.0043,0.03,0.1289,0.351,0.6426,0.8632,0.9378,0.8632,0.6426,0.351,0.1289,0.03,0.0043,0.0004,0.0,0.0,0.0,0.0,0.0
0.0,1,488.8559,0.9,180.0,0.2919,0.0,-4.1278,440.0,0.7477,-4.1278,0.7651,0.7651,0.7651,0.7651,0.7651,0.7651,0.7651,0.7651,0.7651,0.7655,0.7681,0.7767,0.789,0.7837,0.7502,0.7236,0.731,0.751,0.7619,0.7647,0.7651,0.7651,0.7651,0.7651,0.7651,0.0568,0.0569,0.057,0.0581,0.0617,0.0678,0.0699,0.0632,0.0553,0.0536,0.0553,0.0565,0.0568,0.0565,0.0553,0.0536,0.0553,0.0632,0.0699,0.0678,0.0617,0.0581,0.057,0.0569,0.0568,0.0004,0.0013,0.0038,0.0096,0.0222,0.0462,0.0869,0.1481,0.2287,0.3203,0.4071,0.47,0.493,0.47,0.4071,0.3203,0.2287,0.1481,0.0869,0.0462,0.0222,0.0096,0.0038,0.0013,0.0004
0.0,1,488.8559,0.85,170.0,0.2474,0.0,-1.765,417.0,0.8733,-1.765,0.884,0.884,0.884,0.884,0.884,0.884,0.884,0.884,0.884,0.884,0.8843,0.8861,0.8909,0.8944,0.8843,0.8647,0.8588,0.8694,0.8795,0.8832,0.8839,0.884,0.884,0.884,0.884,0.0565,0.0565,0.0565,0.0566,0.0574,0.0601,0.0651,0.0672,0.0619,0.0555,0.0541,0.0554,0.0561,0.0554,0.0541,0.0555,0.0619,0.0672,0.0651,0.0601,0.0574,0.0566,0.0565,0.0565,0.0565,0.0,0.0001,0.0005,0.0019,0.0063,0.0179,0.0436,0.0924,0.1704,0.2735,0.3831,0.4687,0.5012,0.4687,0.3831,0.2735,0.1704,0.0924,0.0436,0.0179,0.0063,0.0019,0.0005,0.0001,0.0
0.0,1,488.8559,0.9,180.0,0.2895,0.0,-3.9933,439.0,0.7552,-3.9933,0.7724,0.7724,0.7724,0.7724,0.7724,0.7724,0.7724,0.7724,0.7724,0.7728,0.7751,0.7831,0.7952,0.7911,0.759,0.7319,0.7381,0.7579,0.769,0.772,0.7724,0.7724,0.7724,0.7724,0.7724,0.0569,0.0569,0.057,0.058,0.0614,0.0674,0.07,0.0638,0.0557,0.0536,0.0552,0.0565,0.0568,0.0565,0.0552,0.0536,0.0557,0.0638,0.07,0.0674,0.0614,0.058,0.057,0.0569,0.0569,0.0004,0.0012,0.0035,0.009,0.021,0.0444,0.0845,0.1454,0.2262,0.3186,0.4068,0.4708,0.4943,0.4708,0.4068,0.3186,0.2262,0.1454,0.0845,0.0444,0.021,0.009,0.0035,0.0012,0.0004
0.0,2,214.4098,0.375,75.0,0.2581,0.0,-2.9195,81.0,0.8031,-2.9195,0.7745,0.7745,0.7745,0.7745,0.7746,0.7747,0.7755,0.7781,0.7848,0.7973,0.8142,0.8288,0.8323,0.8218,0.8031,0.786,0.7762,0.7731,0.7732,0.7739,0.7743,0.7745,0.7745,0.7745,0.7745,0.0395,0.0395,0.0396,0.0399,0.0408,0.0432,0.0477,0.0538,0.0589,0.0602,0.057,0.0522,0.05,0.0522,0.057,0.0602,0.0589,0.0538,0.0477,0.0432,0.0408,0.0399,0.0396,0.0395,0.0395,0.0,0.0,0.0003,0.0013,0.0051,0.0172,0.0483,0.1131,0.2233,0.374,0.536,0.6626,0.7106,0.6626,0.536,0.374,0.2233,0.1131,0.0483,0.0172,0.0051,0.0013,0.0003,0.0,0.0
0.0,2,214.4098,0.9,180.0,0.3097,0.0,-3.6601,193.0,0.4128,-3.6601,0.402,0.402,0.402,0.402,0.402,0.402,0.4024,0.4035,0.4066,0.4133,0.4242,0.4377,0.4494,0.4548,0.4518,0.4417,0.4286,0.4167,0.4087,0.4045,0.4028,0.4024,0.4025,0.4026,0.4026,0.0472,0.048,0.0498,0.0531,0.058,0.0637,0.0684,0.07,0.0676,0.062,0.0559,0.0515,0.05,0.0515,0.0559,0.062,0.0676,0.07,0.0684,0.0637,0.058,0.0531,0.0498,0.048,0.0472,0.0021,0.0036,0.006,0.0095,0.0143,0.0206,0.0282,0.0369,0.0459,0.0544,0.0614,0.066,0.0677,0.066,0.0614,0.0544,0.0459,0.0369,0.0282,0.0206,0.0143,0.0095,0.006,0.0036,0.0021
0.0,2,214.4098,0.38,76.0,0.2581,0.0,-2.9195,81.0,0.8031,-2.9195,0.7745,0.7745,0.7745,0.7745,0.7746,0.7747,0.7755,0.7781,0.7848,0.7973,0.8142,0.8288,0.8323,0.8218,0.8031,0.786,0.7762,0.7731,0.7732,0.7739,0.7743,0.7745,0.7745,0.7745,0.7745,0.0395,0.0395,0.0396,0.0399,0.0408,0.0432,0.0477,0.0538,0.0589,0.0602,0.057,0.0522,0.05,0.0522,0.057,0.0602,0.0589,0.0538,0.0477,0.0432,0.0408,0.0399,0.0396,0.0395,0.0395,0.0,0.0,0.0003,0.0013,0.0051,0.0172,0.0483,0.1131,0.2233,0.374,0.536,0.6626,0.7106,0.6626,0.536,0.374,0.2233,0.1131,0.0483,0.0172,0.0051,0.0013,0.0003,0.0,0.0
0.0,2,214.4098,0.89,178.0,0.2991,0.0,-3.5168,191.0,0.4402,-3.5121,0.4283,0.4283,0.4283,0.4283,0.4283,0.4284,0.4286,0.4294,0.432,0.4379,0.4483,0.4622,0.4753,0.4824,0.4803,0.4701,0.4563,0.4437,0.4352,0.4309,0.4292,0.4287,0.4287,0.4288,0.4288,0.0468,0.0474,0.0489,0.0519,0.0567,0.0626,0.0677,0.07,0.0679,0.0625,0.0562,0.0516,0.05,0.0516,0.0562,0.0625,0.0679,0.07,0.0677,0.0626,0.0567,0.0519,0.0489,0.0474,0.0468,0.0017,0.0031,0.0053,0.0087,0.0137,0.0203,0.0285,0.0381,0.0483,0.0581,0.0662,0.0717,0.0736,0.0717,0.0662,0.0581,0.0483,0.0381,0.0285,0.0203,0.0137,0.0087,0.0053,0.0031,0.0017
0.0,3,205.2714,0.69,138.0,0.2858,0.8433,-4.8642,141.0,0.7494,-4.8642,0.7383,0.7383,0.7383,0.7383,0.7383,0.7383,0.7385,0.7395,0.7425,0.7499,0.7637,0.782,0.798,0.8028,0.793,0.7745,0.7567,0.7453,0.7402,0.7386,0.7383,0.7383,0.7383,0.7383,0.7383,0.0461,0.0463,0.0468,0.0484,0.052,0.058,0.0651,0.07,0.0698,0.0645,0.0574,0.052,0.05,0.052,0.0574,0.0645,0.0698,0.07,0.0651,0.058,0.052,0.0484,0.0468,0.0463,0.0461,0.0003,0.0009,0.0027,0.0075,0.0185,0.041,0.0812,0.1444,0.2306,0.3315,0.429,0.5007,0.5271,0.5007,0.429,0.3315,0.2306,0.1444,0.0812,0.041,0.0185,0.0075,0.0027,0.0009,0.0003
0.0,3,205.2714,0.715,143.0,0.2951,0.9,-5.1005,147.0,0.7256,-5.1005,0.7206,0.7206,0.7206,0.7206,0.7206,0.7206,0.7209,0.7219,0.7251,0.7327,0.7461,0.7633,0.7766,0.7778,0.7656,0.747,0.7315,0.7232,0.7205,0.7202,0.7204,0.7205,0.7206,0.7206,0.7206,0.0483,0.0485,0.0493,0.0512,0.0551,0.061,0.0669,0.0697,0.0675,0.0617,0.0555,0.0514,0.05,0.0514,0.0555,0.0617,0.0675,0.0697,0.0669,0.061,0.0551,0.0512,0.0493,0.0485,0.0483,0.0004,0.0014,0.0039,0.0099,0.0231,0.0483,0.0912,0.1558,0.2409,0.3377,0.4295,0.496,0.5203,0.496,0.4295,0.3377,0.2409,0.1558,0.0912,0.0483,0.0231,0.0099,0.0039,0.0014,0.0004
