Weight,Calibration,Randomization Ratio,Equivalence Margin,Split Ratio,Cost,N,N_t,Power_Reference,Cost,,Power_-0.6,Power_-0.55,Power_-0.5,Power_-0.45,Power_-0.4,Power_-0.35,Power_-0.3,Power_-0.25,Power_-0.2,Power_-0.15,Power_-0.1,Power_-0.05,Power_0.0,Power_0.05,Power_0.1,Power_0.15,Power_0.2,Power_0.25,Power_0.3,Power_0.35,Power_0.4,Power_0.45,Power_0.5,Power_0.55,Power_0.6,,TypeIError_-0.6,TypeIError_-0.55,TypeIError_-0.5,TypeIError_-0.45,TypeIError_-0.4,TypeIError_-0.35,TypeIError_-0.3,TypeIError_-0.25,TypeIError_-0.2,TypeIError_-0.15,TypeIError_-0.1,TypeIError_-0.05,TypeIError_0.0,TypeIError_0.05,TypeIError_0.1,TypeIError_0.15,TypeIError_0.2,TypeIError_0.25,TypeIError_0.3,TypeIError_0.35,TypeIError_0.4,TypeIError_0.45,TypeIError_0.5,TypeIError_0.55,TypeIError_0.6,Beta_-0.6,Beta_-0.55,Beta_-0.5,Beta_-0.45,Beta_-0.4,Beta_-0.35,Beta_-0.3,Beta_-0.25,Beta_-0.2,Beta_-0.15,Beta_-0.1,Beta_-0.05,Beta_0.0,Beta_0.05,Beta_0.1,Beta_0.15,Beta_0.2,Beta_0.25,Beta_0.3,Beta_0.35,Beta_0.4,Beta_0.45,Beta_0.5,Beta_0.55,Beta_0.6
,,,,,,,,,,,-0.6,-0.55,-0.5,-0.45,-0.4,-0.35,-0.3,-0.25,-0.2,-0.15,-0.1,-0.05,0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,,-0.6,-0.55,-0.5,-0.45,-0.4,-0.35,-0.3,-0.25,-0.2,-0.15,-0.1,-0.05,0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Pre-specified lower bound,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,Pre-specified lpper bound,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Power of conventional design,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,Type I error of conventional design,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0.7883,0.283,0,-83.7794,300,236,0.8027,-83.7794,Power of hybrid design (Calibration method 1),0.8207,0.8207,0.8207,0.8207,0.8207,0.8207,0.8207,0.8208,0.8211,0.8225,0.8266,0.8335,0.8378,0.8296,0.8084,0.7897,0.7878,0.7992,0.8113,0.8179,0.8201,0.8206,0.8207,0.8207,0.8207,Type I error of hybrid design (Calibration method 1),0.0583,0.0584,0.0586,0.0594,0.0618,0.0661,0.07,0.0696,0.0643,0.0582,0.0555,0.0557,0.0562,0.0557,0.0555,0.0582,0.0643,0.0696,0.07,0.0661,0.0618,0.0594,0.0586,0.0584,0.0583,0.0002,0.0006,0.0021,0.0063,0.0164,0.038,0.0784,0.1439,0.2356,0.3448,0.4521,0.5314,0.5608,0.5314,0.4521,0.3448,0.2356,0.1439,0.0784,0.038,0.0164,0.0063,0.0021,0.0006,0.0002
0,1,0.8125,0.2807,0,-83.6342,328,266,0.8022,-83.6342,,0.8194,0.8194,0.8194,0.8194,0.8194,0.8194,0.8194,0.8194,0.8196,0.8206,0.824,0.8308,0.8363,0.8298,0.8085,0.7887,0.787,0.7992,0.8112,0.8172,0.819,0.8193,0.8194,0.8194,0.8194,,0.0579,0.0579,0.0581,0.0589,0.0612,0.0656,0.0695,0.0687,0.0628,0.057,0.0551,0.0558,0.0565,0.0558,0.0551,0.057,0.0628,0.0687,0.0695,0.0656,0.0612,0.0589,0.0581,0.0579,0.0579,0.0002,0.0006,0.0021,0.0061,0.0159,0.0368,0.0759,0.1392,0.228,0.334,0.4381,0.5153,0.5439,0.5153,0.4381,0.334,0.228,0.1392,0.0759,0.0368,0.0159,0.0061,0.0021,0.0006,0.0002
0,1,0.7526,0.2846,0,-83.7396,269,202,0.8024,-83.7396,,0.8208,0.8208,0.8208,0.8208,0.8208,0.8209,0.8209,0.821,0.8216,0.8236,0.8285,0.8351,0.8374,0.8274,0.807,0.7901,0.7884,0.7988,0.8104,0.8173,0.82,0.8207,0.8208,0.8209,0.8209,,0.0585,0.0586,0.0588,0.0597,0.0621,0.066,0.0698,0.07,0.0655,0.0595,0.056,0.0554,0.0556,0.0554,0.056,0.0595,0.0655,0.07,0.0698,0.066,0.0621,0.0597,0.0588,0.0586,0.0585,0.0002,0.0006,0.0021,0.0063,0.0166,0.0388,0.0803,0.1477,0.2423,0.3551,0.4657,0.5476,0.5779,0.5476,0.4657,0.3551,0.2423,0.1477,0.0803,0.0388,0.0166,0.0063,0.0021,0.0006,0.0002
0,1,0.7196,0.2854,0,-83.6272,248,178,0.8019,-83.6272,,0.8204,0.8204,0.8204,0.8204,0.8204,0.8204,0.8205,0.8207,0.8216,0.8242,0.8295,0.8356,0.8363,0.8251,0.8054,0.79,0.7886,0.7983,0.8094,0.8165,0.8194,0.8202,0.8204,0.8204,0.8204,,0.0586,0.0586,0.0589,0.0598,0.062,0.0658,0.0694,0.07,0.0662,0.0605,0.0564,0.055,0.0549,0.055,0.0564,0.0605,0.0662,0.07,0.0694,0.0658,0.062,0.0598,0.0589,0.0586,0.0586,0.0002,0.0006,0.0021,0.0062,0.0166,0.039,0.0811,0.1501,0.247,0.3627,0.4764,0.5605,0.5917,0.5605,0.4764,0.3627,0.247,0.1501,0.0811,0.039,0.0166,0.0062,0.0021,0.0006,0.0002
0,2,0.3372,0.2608,0,-83.1978,224,76,0.8017,-83.1978,Power of hybrid design (Calibration method 2),0.7767,0.7767,0.7767,0.7767,0.7767,0.7769,0.7779,0.7811,0.7889,0.803,0.8204,0.833,0.832,0.8164,0.795,0.7786,0.7717,0.7717,0.7739,0.7756,0.7764,0.7766,0.7767,0.7767,0.7767,Type I error of hybrid design (Calibration method 2),0.0407,0.0407,0.0408,0.041,0.0418,0.0441,0.0486,0.0548,0.0602,0.0615,0.0579,0.0525,0.05,0.0525,0.0579,0.0615,0.0602,0.0548,0.0486,0.0441,0.0418,0.041,0.0408,0.0407,0.0407,0,0,0.0002,0.0011,0.0047,0.0168,0.0493,0.1188,0.2384,0.4021,0.5765,0.7113,0.7621,0.7113,0.5765,0.4021,0.2384,0.1188,0.0493,0.0168,0.0047,0.0011,0.0002,0,0
0,2,0.3374,0.2592,0,-83.1323,224,76,0.8017,-83.1323,,0.7766,0.7766,0.7766,0.7766,0.7766,0.7768,0.7778,0.7808,0.7884,0.8022,0.8194,0.832,0.8313,0.8163,0.7953,0.7791,0.7722,0.772,0.7741,0.7756,0.7763,0.7765,0.7766,0.7766,0.7766,,0.0407,0.0407,0.0407,0.0409,0.0417,0.0439,0.0483,0.0544,0.0597,0.0611,0.0576,0.0524,0.05,0.0524,0.0576,0.0611,0.0597,0.0544,0.0483,0.0439,0.0417,0.0409,0.0407,0.0407,0.0407,0,0,0.0002,0.001,0.0045,0.0162,0.0478,0.116,0.2339,0.3962,0.5703,0.7053,0.7562,0.7053,0.5703,0.3962,0.2339,0.116,0.0478,0.0162,0.0045,0.001,0.0002,0,0
0,2,0.3376,0.2608,0,-83.1974,224,76,0.8017,-83.1974,,0.7767,0.7767,0.7767,0.7767,0.7767,0.7769,0.7779,0.7811,0.7889,0.803,0.8204,0.833,0.832,0.8164,0.795,0.7786,0.7717,0.7717,0.7739,0.7756,0.7764,0.7766,0.7767,0.7767,0.7767,,0.0407,0.0407,0.0408,0.041,0.0418,0.0441,0.0486,0.0548,0.0602,0.0615,0.0579,0.0525,0.05,0.0525,0.0579,0.0615,0.0602,0.0548,0.0486,0.0441,0.0418,0.041,0.0408,0.0407,0.0407,0,0,0.0002,0.0011,0.0047,0.0168,0.0492,0.1188,0.2384,0.402,0.5765,0.7113,0.762,0.7113,0.5765,0.402,0.2384,0.1188,0.0492,0.0168,0.0047,0.0011,0.0002,0,0
