,Split ratio between stage 1 and stage 2,Randomization Ratio,Equivalence Margin,Power_-0.6,Power_-0.55,Power_-0.5,Power_-0.45,Power_-0.4,Power_-0.35,Power_-0.3,Power_-0.25,Power_-0.2,Power_-0.15,Power_-0.1,Power_-0.05,Power_0.0,Power_0.05,Power_0.1,Power_0.15,Power_0.2,Power_0.25,Power_0.3,Power_0.35,Power_0.4,Power_0.45,Power_0.5,Power_0.55,Power_0.6,TypeIError_-0.6,TypeIError_-0.55,TypeIError_-0.5,TypeIError_-0.45,TypeIError_-0.4,TypeIError_-0.35,TypeIError_-0.3,TypeIError_-0.25,TypeIError_-0.2,TypeIError_-0.15,TypeIError_-0.1,TypeIError_-0.05,TypeIError_0.0,TypeIError_0.05,TypeIError_0.1,TypeIError_0.15,TypeIError_0.2,TypeIError_0.25,TypeIError_0.3,TypeIError_0.35,TypeIError_0.4,TypeIError_0.45,TypeIError_0.5,TypeIError_0.55,TypeIError_0.6,Split proportion of type I error rate
Sequential_Calibration1_CSO,0.9,0.9,0.2725,0.8184,0.8184,0.8184,0.8184,0.8185,0.8186,0.819,0.8204,0.8236,0.8288,0.8347,0.8367,0.8301,0.8147,0.7971,0.7865,0.7871,0.7956,0.8056,0.8127,0.8164,0.8178,0.8183,0.8184,0.8184,0.0585,0.0585,0.0588,0.0596,0.0613,0.0642,0.0676,0.0698,0.0688,0.0644,0.0584,0.0535,0.0517,0.0535,0.0584,0.0644,0.0688,0.0698,0.0676,0.0642,0.0613,0.0596,0.0588,0.0585,0.0585,
Sequential_Calibration1_CSOMA,0.845,0.7396,0.2732,0.8189,0.8189,0.8189,0.8189,0.819,0.8191,0.8197,0.8212,0.8246,0.8299,0.8355,0.8373,0.8309,0.816,0.7987,0.7878,0.7875,0.7951,0.8048,0.8123,0.8164,0.8181,0.8187,0.8189,0.8189,0.0587,0.0588,0.0592,0.0601,0.0619,0.0649,0.0682,0.07,0.0686,0.0641,0.0582,0.0535,0.0517,0.0535,0.0582,0.0641,0.0686,0.07,0.0682,0.0649,0.0619,0.0601,0.0592,0.0588,0.0587,
Sequential_Calibration1_PSO,0.88,0.767,0.2754,0.819,0.819,0.819,0.819,0.819,0.8191,0.8197,0.8212,0.8244,0.8298,0.8356,0.8375,0.8309,0.8157,0.7983,0.7874,0.7875,0.7955,0.8054,0.8127,0.8167,0.8183,0.8188,0.8189,0.8189,0.0588,0.0588,0.0591,0.0599,0.0617,0.0647,0.068,0.07,0.0688,0.0643,0.0583,0.0535,0.0517,0.0535,0.0583,0.0643,0.0688,0.07,0.068,0.0647,0.0617,0.0599,0.0591,0.0588,0.0588,
Sequential_Calibration2_CSO,0.615,0.7317,0.2561,0.7859,0.7859,0.7859,0.786,0.7861,0.7865,0.7876,0.7898,0.7941,0.8008,0.8095,0.8179,0.8223,0.8197,0.8102,0.7974,0.7867,0.781,0.78,0.7816,0.7835,0.7848,0.7855,0.7858,0.7859,0.0447,0.045,0.0458,0.0477,0.0512,0.0565,0.0625,0.067,0.0678,0.0642,0.0579,0.0523,0.05,0.0523,0.0579,0.0642,0.0678,0.067,0.0625,0.0565,0.0512,0.0477,0.0458,0.045,0.0447,
Sequential_Calibration2_CSOMA,0.59,0.7034,0.2599,0.7868,0.7868,0.7868,0.7868,0.787,0.7875,0.7886,0.791,0.7954,0.8021,0.8106,0.8185,0.8224,0.8195,0.8099,0.7973,0.7866,0.7809,0.78,0.7817,0.7839,0.7854,0.7863,0.7866,0.7867,0.045,0.0454,0.0464,0.0485,0.0523,0.0577,0.0636,0.0679,0.0683,0.0643,0.0579,0.0522,0.05,0.0522,0.0579,0.0643,0.0683,0.0679,0.0636,0.0577,0.0523,0.0485,0.0464,0.0454,0.045,
Sequential_Calibration2_PSO,0.635,0.8031,0.2516,0.7856,0.7856,0.7856,0.7857,0.7858,0.7861,0.787,0.7891,0.7931,0.7998,0.8086,0.8173,0.8221,0.8198,0.8101,0.7972,0.7864,0.7808,0.78,0.7816,0.7835,0.7847,0.7853,0.7855,0.7856,0.0445,0.0448,0.0455,0.0472,0.0506,0.0558,0.062,0.067,0.0682,0.0647,0.0583,0.0524,0.05,0.0524,0.0583,0.0647,0.0682,0.067,0.062,0.0558,0.0506,0.0472,0.0455,0.0448,0.0445,
Sequential_Calibration3_CSO,0.9,0.8056,0.2761,0.7887,0.7887,0.7887,0.7888,0.7888,0.789,0.7898,0.7921,0.7975,0.8075,0.8213,0.8343,0.8392,0.8315,0.8142,0.7959,0.7844,0.7811,0.7829,0.7856,0.7875,0.7884,0.7887,0.7887,0.7887,0.0456,0.0457,0.046,0.0472,0.0498,0.0546,0.0611,0.067,0.0692,0.066,0.0591,0.0526,0.05,0.0526,0.0591,0.066,0.0692,0.067,0.0611,0.0546,0.0498,0.0472,0.046,0.0457,0.0456,0.6412
Sequential_Calibration3_CSOMA,0.835,0.7006,0.278,0.7926,0.7926,0.7926,0.7927,0.7927,0.793,0.7939,0.7965,0.802,0.8116,0.8244,0.8356,0.839,0.8306,0.8134,0.7955,0.7844,0.7818,0.7844,0.7881,0.7907,0.792,0.7925,0.7926,0.7926,0.0471,0.0472,0.0477,0.0491,0.0521,0.0572,0.0635,0.0688,0.07,0.0661,0.0591,0.0526,0.05,0.0526,0.0591,0.0661,0.07,0.0688,0.0635,0.0572,0.0521,0.0491,0.0477,0.0472,0.0471,0.6671
Sequential_Calibration3_PSO,0.875,0.76,0.2779,0.7971,0.7971,0.7971,0.7971,0.7971,0.7974,0.7981,0.8004,0.8055,0.8146,0.8265,0.8367,0.8385,0.8286,0.8107,0.7937,0.7847,0.7842,0.7883,0.7926,0.7953,0.7965,0.7969,0.797,0.7971,0.0488,0.0489,0.0493,0.0505,0.0532,0.0578,0.0637,0.0686,0.0696,0.0657,0.0588,0.0525,0.05,0.0525,0.0588,0.0657,0.0696,0.0686,0.0637,0.0578,0.0532,0.0505,0.0493,0.0489,0.0488,0.6806
Sequential_Calibration4_CSO,0.9,0.7944,0.2801,0.8,0.8,0.8,0.8,0.8001,0.8003,0.801,0.8032,0.8082,0.8171,0.8286,0.8379,0.8384,0.8271,0.8084,0.7918,0.7841,0.7852,0.7904,0.7953,0.7982,0.7995,0.7999,0.8,0.8,0.05,0.0501,0.0505,0.0516,0.0542,0.0586,0.0644,0.0691,0.0699,0.0658,0.0588,0.0525,0.05,0.0525,0.0588,0.0658,0.0699,0.0691,0.0644,0.0586,0.0542,0.0516,0.0505,0.0501,0.05,
