Weight,Calibration,Power_-0.6,Power_-0.55,Power_-0.5,Power_-0.45,Power_-0.4,Power_-0.35,Power_-0.3,Power_-0.25,Power_-0.2,Power_-0.15,Power_-0.1,Power_-0.05,Power_0.0,Power_0.05,Power_0.1,Power_0.15,Power_0.2,Power_0.25,Power_0.3,Power_0.35,Power_0.4,Power_0.45,Power_0.5,Power_0.55,Power_0.6
,,-0.6,-0.55,-0.5,-0.45,-0.4,-0.35,-0.3,-0.25,-0.2,-0.15,-0.1,-0.05,0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6
,Reference line,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
,Lower bound,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77
0,Calibration 1: Large sample approximation,0.819,0.819,0.819,0.819,0.819,0.8191,0.8195,0.8208,0.8239,0.8294,0.8357,0.8381,0.8311,0.8146,0.7961,0.7857,0.7873,0.7969,0.8072,0.8141,0.8174,0.8186,0.8189,0.819,0.819
0,Calibration 2: Exact threshold,0.77,0.77,0.77,0.77,0.77,0.77,0.7702,0.7708,0.7729,0.7782,0.788,0.8016,0.8141,0.819,0.8134,0.8007,0.7873,0.7778,0.7728,0.7708,0.7702,0.77,0.77,0.77,0.77
0,Calibration 3: Splitting type I error,0.7715,0.7715,0.7715,0.7715,0.7715,0.7718,0.7726,0.7755,0.7827,0.7964,0.816,0.8351,0.8443,0.8376,0.8181,0.7959,0.7797,0.7721,0.7702,0.7705,0.7711,0.7714,0.7715,0.7715,0.7715
0,Calibration 4: Adjusted critical value when borrowing RWD,0.8,0.8,0.8,0.8,0.8,0.8001,0.8008,0.8028,0.8078,0.8171,0.8294,0.8391,0.8388,0.8258,0.8059,0.7896,0.7834,0.786,0.7917,0.7963,0.7987,0.7996,0.7999,0.8,0.8
0.005,Calibration 1: Large sample approximation,0.8013,0.8013,0.8013,0.8013,0.8013,0.8013,0.8016,0.8025,0.805,0.8098,0.816,0.8195,0.8147,0.7999,0.7816,0.77,0.7703,0.7791,0.7892,0.7962,0.7996,0.8008,0.8012,0.8012,0.8013
0.005,Calibration 2: Exact threshold,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.7702,0.7705,0.7712,0.772,0.7728,0.773,0.7725,0.7717,0.7709,0.7704,0.7701,0.77,0.77,0.77,0.77,0.77
0.005,Calibration 3: Splitting type I error,0.7748,0.7748,0.7748,0.7748,0.7748,0.7749,0.7752,0.7766,0.7804,0.7886,0.8015,0.8156,0.8232,0.8184,0.8029,0.7852,0.7737,0.77,0.771,0.7729,0.7741,0.7746,0.7747,0.7748,0.7748
